Titre :;Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR)
Magnitude :;Millions (6)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
Déc 1977;159320
Jan 1978;162388
Fév 1978;167382
Mar 1978;171373
Avr 1978;170235
Mai 1978;173303
Jun 1978;175992
Jul 1978;177095
Aoû 1978;180592
Sep 1978;181692
Oct 1978;184322
Nov 1978;187800
Déc 1978;183896
Jan 1979;188913
Fév 1979;191663
Mar 1979;194215
Avr 1979;195618
Mai 1979;200283
Jun 1979;201533
Jul 1979;204916
Aoû 1979;208386
Sep 1979;210539
Oct 1979;213133
Nov 1979;214564
Déc 1979;215689
Jan 1980;216384
Fév 1980;215634
Mar 1980;216893
Avr 1980;219011
Mai 1980;220198
Jun 1980;223623
Jul 1980;226977
Aoû 1980;228493
Sep 1980;231385
Oct 1980;234653
Nov 1980;236595
Déc 1980;237118
Jan 1981;239019
Fév 1981;242331
Mar 1981;245503
Avr 1981;249483
Mai 1981;252685
Jun 1981;254157
Jul 1981;255759
Aoû 1981;253741
Sep 1981;261913
Oct 1981;262982
Nov 1981;265525
Déc 1981;268165
Jan 1982;270861
Fév 1982;274374
Mar 1982;279088
Avr 1982;280360
Mai 1982;284161
Jun 1982;287489
Jul 1982;287730
Aoû 1982;293179
Sep 1982;296122
Oct 1982;298470
Nov 1982;299428
Déc 1982;301212
Jan 1983;304424
Fév 1983;307401
Mar 1983;308878
Avr 1983;310006
Mai 1983;315208
Jun 1983;317375
Jul 1983;319285
Aoû 1983;322735
Sep 1983;323077
Oct 1983;328481
Nov 1983;334657
Déc 1983;337648
Jan 1984;339910
Fév 1984;340479
Mar 1984;341120
Avr 1984;344690
Mai 1984;348224
Jun 1984;350639
Jul 1984;353519
Aoû 1984;359709
Sep 1984;362563
Oct 1984;364802
Nov 1984;367266
Déc 1984;375655
Jan 1985;376477
Fév 1985;380290
Mar 1985;381351
Avr 1985;383765
Mai 1985;382866
Jun 1985;384598
Jul 1985;386868
Aoû 1985;387609
Sep 1985;392142
Oct 1985;394854
Nov 1985;394266
Déc 1985;398668
Jan 1986;396384
Fév 1986;402662
Mar 1986;408475
Avr 1986;407811
Mai 1986;409972
Jun 1986;412456
Jul 1986;415627
Aoû 1986;418659
Sep 1986;420933
Oct 1986;422905
Nov 1986;425342
Déc 1986;427205
Jan 1987;430772
Fév 1987;433839
Mar 1987;437941
Avr 1987;442246
Mai 1987;443176
Jun 1987;447138
Jul 1987;450887
Aoû 1987;453561
Sep 1987;460010
Oct 1987;463182
Nov 1987;467600
Déc 1987;473863
Jan 1988;476726
Fév 1988;477308
Mar 1988;481237
Avr 1988;484712
Mai 1988;490241
Jun 1988;493050
Jul 1988;498127
Aoû 1988;502714
Sep 1988;502870
Oct 1988;507846
Nov 1988;511220
Déc 1988;511184
Jan 1989;514978
Fév 1989;519543
Mar 1989;523693
Avr 1989;526972
Mai 1989;531027
Jun 1989;534264
Jul 1989;539248
Aoû 1989;542916
Sep 1989;546839
Oct 1989;553154
Nov 1989;556264
Déc 1989;562028
Jan 1990;567895
Fév 1990;568081
Mar 1990;571202
Avr 1990;573934
Mai 1990;577614
Jun 1990;584127
Jul 1990;587147
Aoû 1990;587773
Sep 1990;597863
Oct 1990;598626
Nov 1990;598843
Déc 1990;612002
Jan 1991;606060
Fév 1991;612078
Mar 1991;612404
Avr 1991;618556
Mai 1991;617405
Jun 1991;618794
Jul 1991;620678
Aoû 1991;624762
Sep 1991;626072
Oct 1991;623897
Nov 1991;627144
Déc 1991;629041
Jan 1992;622891
Fév 1992;623173
Mar 1992;629825
Avr 1992;639836
Mai 1992;642942
Jun 1992;642800
Jul 1992;642629
Aoû 1992;645520
Sep 1992;648401
Oct 1992;648821
Nov 1992;655292
Déc 1992;656947
Jan 1993;652092
Fév 1993;651182
Mar 1993;717560
Avr 1993;708401
Mai 1993;702499
Jun 1993;699145
Jul 1993;691127
Aoû 1993;690143
Sep 1993;689012
Oct 1993;685358
Nov 1993;679906
Déc 1993;675190
Jan 1994;671380
Fév 1994;665801
Mar 1994;664165
Avr 1994;662891
Mai 1994;659358
Jun 1994;662037
Jul 1994;666334
Aoû 1994;664446
Sep 1994;662582
Oct 1994;672635
Nov 1994;681004
Déc 1994;682472
Jan 1995;693050
Fév 1995;706593
Mar 1995;703474
Avr 1995;709424
Mai 1995;712327
Jun 1995;718810
Jul 1995;724378
Aoû 1995;733931
Sep 1995;734382
Oct 1995;729364
Nov 1995;735082
Déc 1995;744151
Jan 1996;739588
Fév 1996;735505
Mar 1996;729206
Avr 1996;725973
Mai 1996;729317
Jun 1996;724723
Jul 1996;724150
Aoû 1996;730348
Sep 1996;735132
Oct 1996;728879
Nov 1996;729557
Déc 1996;724338
Jan 1997;723769
Fév 1997;724770
Mar 1997;730447
Avr 1997;727995
Mai 1997;734433
Jun 1997;744532
Jul 1997;748104
Aoû 1997;749415
Sep 1997;752036
Oct 1997;757139
Nov 1997;762659
Déc 1997;772025
Jan 1998;778526
Fév 1998;780929
Mar 1998;785332
Avr 1998;795676
Mai 1998;788789
Jun 1998;793065
Jul 1998;797113
Aoû 1998;786251
Sep 1998;794474
Oct 1998;803105
Nov 1998;799372
Déc 1998;788367
Jan 1999;804976
Fév 1999;807580
Mar 1999;809806
Avr 1999;814760
Mai 1999;814774
Jun 1999;825031
Jul 1999;821613
Aoû 1999;832094
Sep 1999;842410
Oct 1999;837534
Nov 1999;848341
Déc 1999;848719
Jan 2000;848442
Fév 2000;849191
Mar 2000;867230
Avr 2000;874397
Mai 2000;878192
Jun 2000;877982
Jul 2000;888383
Aoû 2000;898297
Sep 2000;901058
Oct 2000;898727
Nov 2000;904883
Déc 2000;910433
Jan 2001;931404
Fév 2001;934369
Mar 2001;935337
Avr 2001;932644
Mai 2001;935627
Jun 2001;959332
Jul 2001;969254
Aoû 2001;967185
Sep 2001;975386
Oct 2001;987071
Nov 2001;995394
Déc 2001;1008131
Jan 2002;1013380
