Titre :;Crédits à la consommation accordés aux particuliers résidents, encours;Crédits à l'habitat accordés aux particuliers résidents, encours;Autres crédits accordés aux particuliers résidents, encours;Crédits accordés aux particuliers résidents, encours
Code série :;BSI1.M.FR.N.R.A210Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A220Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A230Z.A.1.U6.2254FR.Z01.E;BSI1.M.FR.N.R.A26.A.1.U6.2254FR.Z01.E
Unité :;Euro (EUR);Euro (EUR);Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6);Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
oct-20;189552;1124625;32403;1346580
sept-20;187725;1116586;33713;1338024
août-20;186609;1108665;34621;1329895
juil-20;186674;1106160;32847;1325681
juin-20;184706;1100784;33311;1318801
mai-20;181742;1094517;34189;1310448
avr-20;182791;1087914;34118;1304823
mars-20;186709;1089585;33491;1309785
févr-20;188253;1088700;33092;1310045
janv-20;188199;1077041;32898;1298138
déc-19;190172;1078645;33116;1301933
nov-19;187909;1071005;33245;1292159
oct-19;187923;1066506;33527;1287956
sept-19;186664;1059878;34143;1280685
août-19;184555;1053108;34134;1271797
juil-19;185395;1049484;34179;1269058
juin-19;183138;1039329;34236;1256703
mai-19;182875;1031847;34252;1248974
avr-19;182179;1026427;34515;1243121
mars-19;180465;1022452;34712;1237629
févr-19;178380;1016876;34905;1230162
janv-19;179019;1013062;35188;1227269
déc-18;179801;1009562;35295;1224658
nov-18;177926;1003058;35694;1216678
oct-18;177599;999201;35660;1212460
sept-18;174962;993907;36085;1204954
août-18;174363;989059;36064;1199486
juil-18;174804;985295;36070;1196169
juin-18;173232;977524;36339;1187095
mai-18;172900;971032;35347;1179279
avr-18;171957;966842;35481;1174280
mars-18;170859;963366;35257;1169482
févr-18;169641;959631;35315;1164587
janv-18;170083;957494;35790;1163367
déc-17;170165;954226;35769;1160160
nov-17;168524;947083;35437;1151044
oct-17;167906;943622;35769;1147297
sept-17;165582;939592;35856;1141030
août-17;164402;934153;36053;1134608
juil-17;165681;932820;36067;1134568
juin-17;164025;927481;36810;1128316
