Titre :;Agrégats monétaires France, M2 [encours];Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.N.V.M20.A.1.U2.2300.Z01.E;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2)
Oct 2020;2641962;2831093
Sep 2020;2665125;2829084
Aoû 2020;2627604;2745912
Jul 2020;2621973;2743152
Jun 2020;2602652;2718192
Mai 2020;2572787;2678493
Avr 2020;2503786;2614804
Mar 2020;2438526;2597710
Fév 2020;2333454;2517532
Jan 2020;2314411;2479134
Déc 2019;2323534;2451622
Nov 2019;2311976;2474267
Oct 2019;2302384;2479928
Sep 2019;2300761;2458588
Aoû 2019;2307332;2443688
Jul 2019;2280696;2408221
Jun 2019;2256216;2389149
Mai 2019;2230543;2378363
Avr 2019;2227552;2374342
Mar 2019;2198310;2357369
Fév 2019;2174976;2358766
Jan 2019;2166351;2335849
Déc 2018;2161908;2318577
Nov 2018;2136225;2305117
Oct 2018;2119717;2300344
Sep 2018;2103991;2285006
Aoû 2018;2137210;2292570
Jul 2018;2137272;2275354
Jun 2018;2104138;2267218
Mai 2018;2081260;2247630
Avr 2018;2077179;2243742
Mar 2018;2046133;2224685
Fév 2018;2037730;2225363
Jan 2018;2038358;2225967
Déc 2017;2047610;2221396
Nov 2017;2011439;2210350
Oct 2017;2001610;2202335
Sep 2017;1999818;2198142
Aoû 2017;2008092;2176705
Jul 2017;1994945;2146627
Jun 2017;1976420;2147413
Mai 2017;1953518;2130975
Avr 2017;1961053;2119009
Mar 2017;1912298;2117911
Fév 2017;1888420;2091323
Jan 2017;1871869;2073860
Déc 2016;1880624;2059003
Nov 2016;1847419;2052463
Oct 2016;1832389;2035463
Sep 2016;1830584;2018708
Aoû 2016;1841720;2013028
Jul 2016;1846155;2006889
Jun 2016;1822450;1994324
Mai 2016;1811186;1991738
Avr 2016;1812318;1986798
Mar 2016;1799970;1976298
Fév 2016;1776144;1969829
Jan 2016;1778574;1956564
Déc 2015;1786381;1941784
Nov 2015;1757368;1947580
Oct 2015;1757298;1953626
Sep 2015;1747449;1923857
Aoû 2015;1748794;1917618
Jul 2015;1749324;1914188
Jun 2015;1732169;1899208
Mai 2015;1708171;1889082
Avr 2015;1709931;1910499
Mar 2015;1694986;1879385
Fév 2015;1665814;1887659
Jan 2015;1697300;1906574
Déc 2014;1707725;1901292
Nov 2014;1669914;1895454
Oct 2014;1652410;1878869
Sep 2014;1654816;1864716
Aoû 2014;1660201;1850487
Jul 2014;1650920;1837372
Jun 2014;1645500;1839360
Mai 2014;1630733;1827004
Avr 2014;1628102;1815756
Mar 2014;1624988;1834179
Fév 2014;1611881;1847858
Jan 2014;1613513;1838258
Déc 2013;1645358;1830811
Nov 2013;1610113;1843690
Oct 2013;1613008;1835321
Sep 2013;1623945;1852394
Aoû 2013;1625197;1852057
Jul 2013;1627751;1845825
Jun 2013;1615217;1849784
Mai 2013;1610531;1860818
Avr 2013;1617403;1859075
Mar 2013;1589268;1846939
Fév 2013;1567548;1840447
Jan 2013;1577523;1836199
Déc 2012;1600459;1829580
Nov 2012;1537572;1803992
Oct 2012;1545199;1812446
Sep 2012;1539448;1803248
Aoû 2012;1541508;1804111
Jul 2012;1552507;1819534
Jun 2012;1529485;1813919
Mai 2012;1526655;1811489
Avr 2012;1522915;1797418
Mar 2012;1522689;1816031
Fév 2012;1511609;1793720
Jan 2012;1526265;1810981
Déc 2011;1514025;1791838
Nov 2011;1478297;1775395
Oct 2011;1478762;1765207
Sep 2011;1480564;1780703
Aoû 2011;1474100;1766197
Jul 2011;1477102;1745613
Jun 2011;1459410;1748958
Mai 2011;1451566;1758765
Avr 2011;1457167;1766693
Mar 2011;1438978;1762180
Fév 2011;1426493;1756404
Jan 2011;1431829;1745994
Déc 2010;1456293;1753825
Nov 2010;1414853;1744875
Oct 2010;1415970;1729878
Sep 2010;1397028;1715116
Aoû 2010;1394933;1695589
Jul 2010;1391684;1679324
Jun 2010;1371763;1674465
Mai 2010;1359385;1653875
Avr 2010;1367651;1665967
Mar 2010;1336000;1640933
Fév 2010;1328023;1633046
Jan 2010;1338325;1646592
Déc 2009;1353649;1639464
Nov 2009;1314056;1623666
Oct 2009;1319594;1616651
Sep 2009;1310824;1633121
Aoû 2009;1310700;1654695
Jul 2009;1308785;1670693
Jun 2009;1299862;1689559
Mai 2009;1306354;1709696
Avr 2009;1315367;1713991
Mar 2009;1295920;1709692
Fév 2009;1294224;1712931
Jan 2009;1300333;1691325
Déc 2008;1357765;1728067
Nov 2008;1319472;1724987
Oct 2008;1321402;1724201
Sep 2008;1298647;1701604
Aoû 2008;1285744;1700782
Jul 2008;1288473;1700131
Jun 2008;1278356;1687151
Mai 2008;1267992;1689192
Avr 2008;1267750;1675016
Mar 2008;1259686;1671051
Fév 2008;1247796;1664955
Jan 2008;1241516;1656698
Déc 2007;1256033;1641769
Nov 2007;1204298;1635150
Oct 2007;1194681;1592703
Sep 2007;1182338;1580291
Aoû 2007;1163403;1545097
Jul 2007;1174391;1544979
Jun 2007;1163780;1541389
Mai 2007;1132339;1520193
Avr 2007;1135553;1494220
Mar 2007;1122959;1491778
Fév 2007;1090184;1451074
Jan 2007;1087208;1439276
Déc 2006;1105101;1419904
Nov 2006;1058944;1413484
Oct 2006;1059366;1398555
Sep 2006;1056318;1389834
Aoû 2006;1043445;1375678
Jul 2006;1049007;1344198
Jun 2006;1048348;1346718
Mai 2006;1031735;1345225
Avr 2006;1048087;1352083
Mar 2006;1015264;1318389
Fév 2006;1007550;1306045
Jan 2006;1012933;1289808
Déc 2005;1021812;1280668
Nov 2005;978513;1268364
Oct 2005;987736;1268003
Sep 2005;976416;1263468
Aoû 2005;975101;1258703
Jul 2005;985977;1255106
Jun 2005;970358;1240087
Mai 2005;954496;1233287
Avr 2005;958450;1210381
Mar 2005;943747;1204081
Fév 2005;935901;1201346
Jan 2005;942665;1189437
Déc 2004;942619;1178773
Nov 2004;915651;1166565
Oct 2004;913745;1163055
Sep 2004;899444;1151368
Aoû 2004;892818;1147883
Jul 2004;898237;1136964
Jun 2004;891444;1130286
Mai 2004;887864;1119906
Avr 2004;883090;1123073
Mar 2004;875421;1116250
Fév 2004;865524;1115578
Jan 2004;863029;1100775
Déc 2003;881158;1098785
Nov 2003;845469;1089913
Oct 2003;844469;1087624
Sep 2003;843217;1086684
Aoû 2003;842803;1090064
Jul 2003;848840;1087434
Jun 2003;841111;1044898
Mai 2003;853918;1066363
Avr 2003;847969;1069971
Mar 2003;836122;1044925
Fév 2003;826673;1042559
Jan 2003;826467;1043274
Déc 2002;842732;1035440
Nov 2002;821569;1032827
Oct 2002;811252;1024524
Sep 2002;818175;1037021
Aoû 2002;805679;1020845
Jul 2002;805436;1008828
Jun 2002;802316;1011452
Mai 2002;795646;1016051
Avr 2002;802923;1015155
Mar 2002;789483;1009175
Fév 2002;785279;1011939
Jan 2002;794248;1013380
Déc 2001;779508;1008131
Nov 2001;748235;995394
Oct 2001;746700;987071
Sep 2001;744412;975386
Aoû 2001;744686;967185
Jul 2001;752314;969254
Jun 2001;746818;959332
Mai 2001;730081;935627
Avr 2001;732479;932644
Mar 2001;726487;935337
Fév 2001;724863;934369
Jan 2001;730351;931404
Déc 2000;728797;910433
Nov 2000;700917;904883
Oct 2000;699186;898727
Sep 2000;702394;901058
Aoû 2000;701946;898297
Jul 2000;705877;888383
Jun 2000;696397;877982
Mai 2000;687488;878192
Avr 2000;690816;874397
Mar 2000;680166;867230
Fév 2000;677398;849191
Jan 2000;684255;848442
Déc 1999;687555;848719
Nov 1999;660999;848341
Oct 1999;663749;837534
Sep 1999;663279;842410
Aoû 1999;670667;832094
Jul 1999;679159;821613
Jun 1999;666682;825031
Mai 1999;660805;814774
Avr 1999;660906;814760
Mar 1999;661978;809806
Fév 1999;661887;807580
Jan 1999;671926;804976
Déc 1998;653961;788367
Nov 1998;633378;799372
Oct 1998;637000;803105
Sep 1998;639032;794474
Aoû 1998;629012;786251
Jul 1998;641852;797113
Jun 1998;651216;793065
Mai 1998;639953;788789
Avr 1998;641411;795676
Mar 1998;634305;785332
Fév 1998;628572;780929
Jan 1998;629896;778526
Déc 1997;630335;772025
Nov 1997;603826;762659
Oct 1997;600478;757139
Sep 1997;597938;752036
Aoû 1997;597813;749415
Jul 1997;597403;748104
Jun 1997;588502;744532
Mai 1997;575720;734433
Avr 1997;577136;727995
Mar 1997;576296;730447
Fév 1997;565568;724770
Jan 1997;574364;723769
Déc 1996;589065;724338
Nov 1996;562160;729557
Oct 1996;558166;728879
Sep 1996;562848;735132
Aoû 1996;561726;730348
Jul 1996;563930;724150
Jun 1996;565271;724723
Mai 1996;555286;729317
Avr 1996;559422;725973
Mar 1996;560484;729206
Fév 1996;560285;735505
Jan 1996;572991;739588
Déc 1995;590249;744151
Nov 1995;550968;735082
Oct 1995;552622;729364
Sep 1995;558422;734382
Aoû 1995;552664;733931
Jul 1995;558344;724378
Jun 1995;554211;718810
Mai 1995;541522;712327
Avr 1995;548751;709424
Mar 1995;538692;703474
Fév 1995;532283;706593
Jan 1995;536114;693050
Déc 1994;542745;682472
Nov 1994;513408;681004
Oct 1994;517156;672635
Sep 1994;512045;662582
